,Genre,created_year,Released_Monthname,Released_Month,calc_ret_fav_count
0,Action,2016,Apr,4,550.85
1,Action,2016,Aug,8,331.118181818
2,Action,2016,Dec,12,4.7
3,Action,2016,Feb,2,153.496124031
4,Action,2016,Jan,1,8.64347826087
5,Action,2016,Jul,7,11.8862275449
6,Action,2016,Jun,6,202.137614679
7,Action,2016,Mar,3,1611.82142857
8,Action,2016,May,5,670.336734694
9,Action,2016,Nov,11,54.8166666667
10,Action,2016,Oct,10,215.655555556
11,Action,2016,Sep,9,25.2
12,Adventure,2016,Apr,4,151.854368932
13,Adventure,2016,Aug,8,248.957575758
14,Adventure,2016,Dec,12,4.7
15,Adventure,2016,Feb,2,153.496124031
16,Adventure,2016,Jan,1,8.64347826087
17,Adventure,2016,Jul,7,222.791366906
18,Adventure,2016,Jun,6,1340.99350649
19,Adventure,2016,Mar,3,1511.9537037
20,Adventure,2016,May,5,1191.17991632
21,Adventure,2016,Nov,11,54.8166666667
22,Adventure,2016,Oct,10,215.655555556
23,Animation,2016,Aug,8,47.0761904762
24,Animation,2016,Jan,1,6.73846153846
25,Animation,2016,Jul,7,86.3298969072
26,Animation,2016,Jun,6,3682.83333333
27,Animation,2016,Mar,3,379.864864865
28,Animation,2016,May,5,14.1714285714
29,Biography,2016,Feb,2,383.3
30,Biography,2016,May,5,0.0
31,Biography,2016,Oct,10,90.6666666667
32,Comedy,2016,Apr,4,237.384615385
33,Comedy,2016,Aug,8,34.8545454545
34,Comedy,2016,Feb,2,242.469135802
35,Comedy,2016,Jul,7,163.712121212
36,Comedy,2016,Jun,6,1966.91346154
37,Comedy,2016,Mar,3,379.864864865
38,Comedy,2016,May,5,1535.46086957
39,Comedy,2016,Nov,11,176.12962963
40,Comedy,2016,Sep,9,7.125
41,Crime,2016,Aug,8,13.0882352941
42,Crime,2016,Jul,7,1.07142857143
43,Crime,2016,Jun,6,340.322033898
44,Crime,2016,Mar,3,4.24
45,Crime,2016,Oct,10,450.886666667
46,Documentary,2016,Apr,4,0.66
47,Documentary,2016,May,5,25.9019607843
48,Documentary,2016,Sep,9,1.52272727273
49,Drama,2016,Apr,4,122.825327511
50,Drama,2016,Aug,8,20.1346153846
51,Drama,2016,Feb,2,255.911111111
52,Drama,2016,Jan,1,70.6862745098
53,Drama,2016,Jul,7,1.83333333333
54,Drama,2016,Jun,6,138.74015748
55,Drama,2016,Mar,3,129.316037736
56,Drama,2016,May,5,1.49056603774
57,Drama,2016,Nov,11,56.4166666667
58,Drama,2016,Oct,10,64.801242236
59,Drama,2016,Sep,9,0.7
60,Family,2016,Apr,4,292.867924528
61,Family,2016,Aug,8,43.7605633803
62,Family,2016,Jan,1,575.9
63,Family,2016,Jun,6,113.72
64,Family,2016,Mar,3,408.183333333
65,Family,2016,May,5,3.52
66,Family,2016,Nov,11,176.12962963
67,Family,2016,Sep,9,1.76470588235
68,Fantasy,2016,Aug,8,602.25
69,Fantasy,2016,Feb,2,3.35416666667
70,Fantasy,2016,Jan,1,409.06779661
71,Fantasy,2016,Jul,7,24.5254237288
72,Fantasy,2016,Jun,6,0.5
73,Fantasy,2016,Mar,3,181.950819672
74,Fantasy,2016,May,5,3.52
75,Fantasy,2016,Nov,11,54.8166666667
76,Fantasy,2016,Sep,9,11.406779661
77,History,2016,Feb,2,383.3
78,History,2016,May,5,0.0
79,History,2016,Oct,10,90.6666666667
80,History,2016,Sep,9,0.7
81,Horror,2016,Apr,4,253.687898089
82,Horror,2016,Jan,1,284.12962963
83,Horror,2016,Jul,7,8.56
84,Horror,2016,Jun,6,3.02
85,Horror,2016,Mar,3,211.936046512
86,Horror,2016,Oct,10,41.06
87,Horror,2016,Sep,9,111.0
88,Music,2016,May,5,26.42
89,Musical,2016,Apr,4,4.54166666667
90,Musical,2016,Jun,6,271.1
91,Musical,2016,May,5,3231.56862745
92,Mystery,2016,Feb,2,1.13333333333
93,Mystery,2016,Jan,1,284.12962963
94,Mystery,2016,Jun,6,0.5
95,Mystery,2016,Mar,3,85.7826086957
96,Mystery,2016,Nov,11,56.4166666667
97,Mystery,2016,Oct,10,7.38
98,Mystery,2016,Sep,9,127.383838384
99,Reality-TV,2016,Jul,7,31.2068965517
100,Romance,2016,Jan,1,1.30434782609
101,Romance,2016,Jul,7,451.96
102,Romance,2016,Jun,6,25.7307692308
103,Romance,2016,May,5,163.597222222
104,Romance,2016,Nov,11,2307.28
105,Romance,2016,Sep,9,188.716666667
106,Sci-Fi,2016,Apr,4,301.545454545
107,Sci-Fi,2016,Feb,2,1.13333333333
108,Sci-Fi,2016,Jan,1,41.198019802
109,Sci-Fi,2016,Jul,7,5.34
110,Sci-Fi,2016,Jun,6,39.08
111,Sci-Fi,2016,Mar,3,3975.91176471
112,Sci-Fi,2016,May,5,1157.37864078
113,Sci-Fi,2016,Nov,11,56.4166666667
114,Short,2016,Apr,4,4.54166666667
115,Short,2016,Mar,3,9.86666666667
116,Short,2016,Nov,11,176.12962963
117,Sport,2016,May,5,9.50485436893
118,Thriller,2016,Apr,4,490.847133758
119,Thriller,2016,Aug,8,5.76
120,Thriller,2016,Jan,1,284.12962963
121,Thriller,2016,Jul,7,2.12
122,Thriller,2016,Jun,6,179.044247788
123,Thriller,2016,Oct,10,441.754545455
124,Thriller,2016,Sep,9,25.8545454545
125,Western,2016,Dec,12,4.7
126,Western,2016,Jun,6,1.06666666667
127,Western,2016,Mar,3,9.86666666667
